ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SCHOOL FOR YOUNG WOMEN,06/01/2016 12:00:00 AM,375.0,318.0,26.0,31.0,202082.82
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SIMS ELEMENTARY,06/01/2016 12:00:00 AM,261.0,228.0,12.0,20.0,158535.36000000002
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SMALL MS,06/01/2016 12:00:00 AM,1004.0,259.0,62.0,684.0,143395.05000000002
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ST ELMO ELEMENTARY,06/01/2016 12:00:00 AM,300.0,235.0,24.0,41.0,162305.79
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SUMMITT ELEMENTARY,06/01/2016 12:00:00 AM,838.0,261.0,61.0,517.0,171030.87999999998
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SUNSET VALLEY ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,536.0,314.0,19.0,203.0,229578.74
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,T A BROWN ELEMENTARY,06/01/2016 12:00:00 AM,366.0,331.0,16.0,18.0,236090.33
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,TRAVIS EARLY COLLEGE HIGH SCHOOL AUSTIN,06/01/2016 12:00:00 AM,1272.0,991.0,93.0,188.0,464745.0900000001
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,TRAVIS HTS CHARTER,06/01/2016 12:00:00 AM,537.0,354.0,12.0,171.0,222214.43
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,UPHAUS EARLY CHILDHOOD CENTER,06/01/2016 12:00:00 AM,280.0,256.0,11.0,14.0,180750.01
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WALNUT CREEK ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,655.0,572.0,25.0,57.0,347341.13
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WEBB MIDDLE SCHOOL AUSTIN,06/01/2016 12:00:00 AM,720.0,664.0,26.0,30.0,355904.65
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WEBB PRIMARY CENTER,06/01/2016 12:00:00 AM,224.0,210.0,8.0,6.0,175872.77999999994
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WIDEN ELEMENTARY,06/01/2016 12:00:00 AM,575.0,500.0,41.0,34.0,384446.36
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WILLIAMS ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,461.0,328.0,50.0,83.0,233202.37
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WINN ELEMENTARY,06/01/2016 12:00:00 AM,305.0,275.0,14.0,15.0,192906.53
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WOOLDRIDGE ELEMENTARY,06/01/2016 12:00:00 AM,639.0,583.0,29.0,27.0,431204.89
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WOOTEN ELEMENTARY,06/01/2016 12:00:00 AM,616.0,562.0,19.0,35.0,365637.49
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ZAVALA ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,379.0,352.0,12.0,15.0,242597.77
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ZILKER ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,549.0,105.0,23.0,421.0,63445.73
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,06/01/2017 12:00:00 AM,2640.0,1414.0,290.0,936.0,828531.0399999998
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON ELEMENTARY,06/01/2017 12:00:00 AM,459.0,409.0,18.0,32.0,268526.03
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALTERNATIVE LEARNING CTR AUSTIN,06/01/2017 12:00:00 AM,145.0,111.0,6.0,28.0,84981.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDERSON H S,06/01/2017 12:00:00 AM,2200.0,445.0,87.0,1668.0,193494.49
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDREWS ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,574.0,527.0,23.0,24.0,446195.87000000005
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,06/01/2017 12:00:00 AM,781.0,356.0,91.0,334.0,207208.84999999995
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN HIGH SCHOOL,06/01/2017 12:00:00 AM,2139.0,508.0,122.0,1510.0,197125.4
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE SCHOOL AUSTIN,06/01/2017 12:00:00 AM,911.0,228.0,65.0,618.0,121894.61000000002
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY SCHOOL AUSTIN,06/01/2017 12:00:00 AM,798.0,106.0,15.0,677.0,67344.06000000001
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF ELEMENTARY,06/01/2017 12:00:00 AM,1022.0,93.0,34.0,894.0,66620.98
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,549.0,497.0,28.0,24.0,395714.67999999993
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS ELEMENTARY,06/01/2017 12:00:00 AM,428.0,25.0,2.0,400.0,24352.92
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER ELEMENTARY,06/01/2017 12:00:00 AM,428.0,161.0,8.0,258.0,103595.25
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,06/01/2017 12:00:00 AM,891.0,659.0,83.0,149.0,332642.89
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,381.0,261.0,18.0,102.0,172521.19
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,494.0,358.0,28.0,108.0,230292.07
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,06/01/2017 12:00:00 AM,829.0,502.0,96.0,232.0,354001.17
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,571.0,252.0,39.0,281.0,181684.97000000003
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE HIGH SCHOOL AUSTIN,06/01/2017 12:00:00 AM,2878.0,290.0,77.0,2511.0,117057.5
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD ELEMENTARY,06/01/2017 12:00:00 AM,654.0,144.0,18.0,492.0,88075.24
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE ELEMENTARY,06/01/2017 12:00:00 AM,273.0,237.0,23.0,13.0,183513.94
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS ELEMENTARY,06/01/2017 12:00:00 AM,447.0,38.0,7.0,401.0,25021.55
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,06/01/2017 12:00:00 AM,963.0,839.0,51.0,73.0,487314.07
